pi,p,b,r
-0.5,0.0,0.5,-1.0
-0.125,0.0,0.125,-1.0
-0.125,0.0,0.125,-1.0
-0.2,0.0,0.2,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-0.3333333333333333,0.0,0.3333333333333333,-1.0
-0.25,0.0,0.25,-1.0
-0.3333333333333333,0.0,0.3333333333333333,-1.0
-0.5,0.0,0.5,-1.0
-0.5,0.0,0.5,-1.0
-0.5,0.0,0.5,-1.0
-0.16666666666666666,0.0,0.16666666666666666,-1.0
-0.125,0.0,0.125,-1.0
-0.5,0.0,0.5,-1.0
-1.0,0.0,1.0,-1.0
-0.3333333333333333,0.0,0.3333333333333333,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-0.5,0.0,0.5,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-0.5,0.0,0.5,-1.0
-0.5,0.0,0.5,-1.0
-0.5,0.0,0.5,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-0.3333333333333333,0.0,0.3333333333333333,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-0.5,0.0,0.5,-1.0
-0.5,0.0,0.5,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-0.5,0.0,0.5,-1.0
-1.0,0.0,1.0,-1.0
-0.5,0.0,0.5,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
0.02857142857142857,0.02857142857142857,0.0,-1.0
-1.0,0.0,1.0,-1.0
-0.08403361344537814,0.058823529411764705,0.14285714285714285,-0.8823529411764706
-0.1111111111111111,0.0,0.1111111111111111,-1.0
-0.2,0.0,0.2,-1.0
-0.2,0.0,0.2,-1.0
-0.17916666666666667,0.020833333333333332,0.2,-0.9583333333333334
-0.25,0.0,0.25,-1.0
-0.21551724137931033,0.034482758620689655,0.25,-0.9310344827586207
-0.125,0.0,0.125,-1.0
-0.3333333333333333,0.0,0.3333333333333333,-1.0
-0.5,0.0,0.5,-1.0
-0.5,0.0,0.5,-1.0
-0.3115942028985507,0.021739130434782608,0.3333333333333333,-0.9565217391304348
-1.0,0.0,1.0,-1.0
-0.25,0.0,0.25,-1.0
-0.5,0.0,0.5,-1.0
-0.5,0.0,0.5,-1.0
-1.0,0.0,1.0,-1.0
-0.25,0.0,0.25,-1.0
-0.3333333333333333,0.0,0.3333333333333333,-1.0
-0.641025641025641,0.02564102564102564,0.6666666666666666,-0.9487179487179487
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-0.5,0.0,0.5,-1.0
-0.43333333333333335,0.16666666666666666,0.6,-0.6666666666666667
-0.22435897435897437,0.02564102564102564,0.25,-0.9487179487179487
-0.3333333333333333,0.0,0.3333333333333333,-1.0
-0.5952380952380952,0.07142857142857142,0.6666666666666666,-0.8571428571428572
-0.4811320754716981,0.018867924528301886,0.5,-0.9622641509433962
-1.0,0.0,1.0,-1.0
-0.9767441860465116,0.023255813953488372,1.0,-0.9534883720930233
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-0.3333333333333333,0.0,0.3333333333333333,-1.0
-0.95,0.05,1.0,-0.9
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-0.4411764705882353,0.058823529411764705,0.5,-0.8823529411764706
-0.5,0.0,0.5,-1.0
-0.5,0.0,0.5,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-0.9615384615384616,0.038461538461538464,1.0,-0.9230769230769231
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-0.9761904761904762,0.023809523809523808,1.0,-0.9523809523809523
-1.0,0.0,1.0,-1.0
-0.9642857142857143,0.03571428571428571,1.0,-0.9285714285714286
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
